,Prop_Addr,reverse_lookup_rd,Lat,Long
11371,5116 SPRINGBROOK CIR,6th Street,42.02856761,-93.68767422
11373,5122 SPRINGBROOK CIR,6th Street,42.02834756,-93.68771794
