SaleID,Time,Service_Arts_time,Service_Elem_School_time,Service_Golf_time,Service_Gym_time,Service_High_School_time,Service_Historic_time,Service_ISU_time,Service_Library_time,Service_Medical_time,Service_Organic_Groceries_time,Service_Park_time,Service_Recreation_time,Service_Religion_time,Service_Restaurant_time,Service_Shopping_time,Service_Spa_time,Closest_5_feature,Closest_all_feature,Central_historic_feature,num_biz_180s_feature,num_biz_480s_feature,Rcrd_Yr,Inst1_Yr,LotArea,YrBuilt,TtlBsmtSF,Fireplaces,PoolArea,GarYrBlt,Cars,GarageArea,TotalArea,TotalArea_Gar,Has_Fireplace,Has_Garage,Has_Bsmt,AsbShng_Ext,BrkComm_Ext,BrkFace_Ext,CemntBd_Ext,HdBoard_Ext,ImStucc_Ext,MetalSd_Ext,No Data_Ext,Plywood_Ext,Stone_Ext,Stucco_Ext,VinylSd_Ext,Wd Sdng_Ext,WdShing_Ext,2 Types_GrType,Attachd_GrType,Basment_GrType,BuiltIn_GrType,Carport_GrType,Detachd_GrType,No Data_GrType,None_GrType,1_Story_HsStyle,1_5_Fin_HsStyle,1_5_Unf_HsStyle,2_Story_HsStyle,2_5_Fin_HsStyle,2_5_Unf_HsStyle,No_Data_HsStyle,S_Foyer_HsStyle,S_Level_HsStyle
79,332.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,372.14,539.9722222222222,613.1,0,7,2021.0,2021.0,11711.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
80,341.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,377.38,546.9000000000001,622.6,0,7,2022.0,2022.0,11400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
99,256.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,352.76,501.28888888888895,537.7,0,8,2021.0,2021.0,10840.0,2020.0,1659.0,0.0,0.0,2020.0,3.0,791.0,3318.0,4109.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
102,270.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,366.86,515.3888888888889,551.8,0,8,2021.0,2021.0,9779.0,2020.0,1527.0,1.0,0.0,2020.0,3.0,809.0,3054.0,3863.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106,272.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,368.3,516.7277777777778,553.5,0,8,2021.0,2021.0,9794.0,2020.0,1007.0,0.0,0.0,2020.0,3.0,769.0,2590.0,3359.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
121,288.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,375.21999999999997,523.6166666666667,569.0,0,8,2021.0,2021.0,11105.0,2020.0,1675.0,1.0,0.0,2020.0,3.0,684.0,3350.0,4034.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125,297.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,377.14,527.8833333333333,578.6,0,8,2021.0,2021.0,10525.0,2019.0,1675.0,1.0,0.0,2019.0,3.0,684.0,3350.0,4034.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
133,330.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,365.91999999999996,535.3555555555555,610.9,0,8,2021.0,2021.0,15723.0,2020.0,1688.0,1.0,0.0,2020.0,3.0,650.0,4173.0,4823.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,330.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,365.91999999999996,535.3555555555555,610.9,0,8,2021.0,2021.0,10400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
151,269.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,365.26,513.7888888888889,550.2,0,8,2021.0,2021.0,10200.0,2020.0,1674.0,1.0,0.0,2020.0,3.0,744.0,3348.0,4092.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
